Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,26,59,59,59,40,43,42,43,43,29,33,30
2001,45,47,58,52,59,54,60,50,56,52,71,55
2002,74,76,91,59,65,55,61,55,64,57,59,42
2003,72,55,57,55,63,48,55,66,67,75,55,74
2004,58,70,66,62,42,42,27,45,53,67,72,52
2005,72,59,69,70,64,66,66,63,77,80,75,68
2006,57,71,64,49,47,64,55,71,64,70,73,78
2007,97,70,70,75,69,59,62,61,65,61,57,49
2008,27,36,75,53,51,48,60,45,64,67,67,55
2009,62,54,53,61,64,67,73,68,69,65,78,65
2010,73,79,92,87,75,64,61,65,61,71,79,49
2011,50,51,64,66,53,59,74,73,56,67,56,53
2012,45,49,57,69,76,62,56,64,75,79,74,52
2013,67,57,65,54,61,65,59,66,77,70,81,67
2014,74,50,77,78,86,66,58,82,90,86,68,79
