user_id,text,business_id,likes,date,type
Nzmvsr9_SO404454o6PCEg,Dessert!! Creperie!!,6qXQQOWdUZiJmWVqkWB-3w,0,2012-07-06,tip
qmdRG4PGjDEXazZYuFdDtA,Great people,uoLKwJeH1rWeqUC0D1La2g,0,2012-09-20,tip
NvDR3SPVPXrDB_dbKuGoWA,"This place I'd packed, everybody had the same idea.",Vn8qcaX64fkl8vByCsSvIg,0,2012-12-21,tip
2xZapd4o31tuEqXjNhM6Gw,"I love this place.... living in LA, this is my go to soon tofu spot in vegas... prices so reasonable. Nice variety of /side dishes, good soon tofu, great service! After a night of drinking it always hits the spot.",UKKz4HdQC0aH9j5lLi4u8Q,0,2014-01-28,tip
hSmSJ4uXV9FUkEXnkMIApw,Terrible service as usual,4Pqav1bZ2Z20o1BaNtg97A,0,2013-09-24,tip
yv7jpUO1jl1twkSaoIoKew,"The Added Touch is a management company working with independently contracted LMT's, aestheticians and therapists. When calling you want to leave a message to arrange an appointment as each therapist has varied schedules. They've always told me to allow 24 hours for a return call, but they usually call before hand. They also have an online scheduling program for returning clients to arrange their own appointment times with their therapist. I've never had a problem.",Dl32v3tuibyzc0qHx0lvSQ,0,2014-03-12,tip
N9J1H2xZO7b1pN5ttOUAdg,Friendly staff.,iAXNMfCF6VISXBiufQzS1Q,0,2014-07-13,tip
0o0VMEJeQY0pAAZ9nxErBA,"Cold coffee, tiny portions and high prices. Just come for the beer.",U-0hMfagGtjYZCYB1i0WNw,0,2010-09-12,tip
vxsv_FxqU3GMRrQDA1jXOA,"Check out the gym....yes it really is worth it!! Super nice facilities! They use TechnoGym, free weights & even a boxing ring!",AtjsjFzalWqJ7S9DUFQ4bw,0,2014-02-28,tip
hqdkCwCKBaVzHl4YHy_8sQ,Good stuff - you can't go wrong here!,zBacxYJdcxmJETelXMt9aw,0,2012-04-29,tip
WLmARQfoz3fl8D6CPg8IrQ,"1. Don't come here starving. Make sure you have a snack beforehand because the service is slow
2. They show the games but don't open the damn divider so you can see the big projector screen. Yet, it's on! For some reason they keep it closed. Maybe they like to irritate their patrons with their ignorance. 
3. Bring TUMS",ZfAe6DU_UP9IdYkI-te1QA,0,2014-06-22,tip
6w6IaAX7aK2jSHzK_PSRYQ,Shotgun golf style! Get a golf cart and hit the course.,yXIHLUaZh_Nv85_b-5RyHw,0,2013-01-28,tip
nKVFeezgxGMTQEw4T9BmPQ,"Yelpers..it ain't the bouncers holding up the lines and asking for tips, it's the ""club hosts"".",YuPH4GmN2OGIHKvG9AQYRA,0,2012-03-03,tip
F5hlXuNro_zhMaGwYVi_ug,Great burger,xyTJYlbE_MLouK6rCou6zg,0,2011-11-27,tip
AirVzN1BVQBmq5zY0YMNYQ,Birthday Coupon!!,xMK01ZbVUYLLoyqoeWAIVw,0,2011-02-17,tip
vDQjP3dAOnLPqqcV-53dUg,Studying til my brain can't hang.,yXMvhCmUADlaHabo-DiUYw,0,2011-09-21,tip
GUD49EIrgLn7UbasgD4ftQ,132 flavor coke machine..raspberry for me.,N_6bV3c3JagKW7sD3X9ldA,0,2013-01-12,tip
OaFcpi3W4AwxrD8W2pgC_A,Fresh fish tacos at a good price,s3u1ET2VN9NkY0qsn9gSwQ,0,2012-08-28,tip
IXuKjVb0F7t7T-BTpwLqKQ,Yahhh for kimbap and fish cakes!!,8yxuxxKHRtyIzwE4cIVRiA,0,2014-05-27,tip
-hxSGdDg_E9K31y70Odwpg,"Ugghh, its new year week for christ sake!",58G5uy89YPe7sIJa7Ze99g,0,2012-12-30,tip
4mvjrMdp1kZw2gzpTiRxZQ,Dinner is served.,Qher1XRFuU8GnhA4BH7wog,0,2012-01-05,tip
wEwU88bt18BUf7DhHDRbHw,Try the beignets!,XFm8pUV58qOB7HbIGFLIrw,0,2013-06-27,tip
4_YfcfHkCem1onJFkItxjA,Will be back in two shakes,hW0Ne_HTHEAgGF1rAdmR-g,0,2012-05-12,tip
uv0BTuVf_t0mLVZxlRRS2w,It's ok,RBXNORZ9yLgYwfIPrLLIkA,0,2011-08-14,tip
8SFpYIJed0i6NMr_2rYJhg,0:01 pre-pro mtg,V6BYjHM9SnXscfkln3hCdA,0,2012-02-16,tip
5KP9gNCMPMmz2WqbDxYRGw,"Great local business, make sure to stop in if you haven't yet!",4VSP4PlU1r09iSC4BLr6tQ,0,2013-08-08,tip
1E4VwqEEvWUQeKXhsrYPjA,"This is a great place for books, videos, scrabble games at a discount price.",9Mg5BoR-u0zPfcInLUcpaA,0,2011-01-31,tip
zORvTbr-58LaY2JD9EujSw,Love the chicken fried steak,UI8iKvzhGn2qZCGIqtQqrQ,0,2012-10-13,tip
