yelping_since,votes,review_count,name,user_id,friends,fans,average_stars,type,compliments,elite
2014-02,"{'funny': 0, 'useful': 0, 'cool': 0}",5,Ranay,ZvYEb1KzDH8QiXk6HrOZDQ,[],0,3.399999999999999,user,{},[]
2007-07,"{'funny': 9, 'useful': 24, 'cool': 15}",38,Jenay,7jcslVY0t8dfqjaZx1UuyQ,[],1,3.819999999999999,user,"{'note': 2, 'cute': 2, 'cool': 1, 'plain': 3}",[]
2010-08,"{'funny': 4, 'useful': 8, 'cool': 0}",5,Carrie,PlD-qcjhJg4fbZZLVVCs0w,[],0,3.0,user,{'note': 1},[]
2010-10,"{'funny': 11, 'useful': 67, 'cool': 12}",45,Ess,lNrv5EDihOM0xU31VV_I2g,[],1,3.62,user,{'more': 1},[]
2012-07,"{'funny': 0, 'useful': 2, 'cool': 0}",1,Brandon,8BIWPgRVf4ek0ZSOuqqE2Q,"['Hkynh8Z7Ua1MY4x11GeSvQ', 'S4h6p1OtwiDcovuUBbcZ-A']",1,4.0,user,{'note': 1},[]
2013-03,"{'funny': 0, 'useful': 2, 'cool': 2}",2,Marco,sW6_3t5fi9sbs5ncqe81WA,"['C8ZTiwa7qWoPSMIivTeSfw', 'VA5zvXwaaj81_tjiQCH2mg', 'pLAmvKJu0J3ng9d2fWa61g', 'w4dgIzMwwZvKsHaC47Ox3A', '_p9EnnLQg6KDlIRU2fYEJA', 'Hb-3_gqH29M2O02GbYVqBw', '3CaS9fYbp8tyzZftqVuu2A', 'BLs3hd2Rx6z65B_7kHoDHQ', 'EBCh21wLzToZ_mV0bmxqjw', 'eMGa4yDSGPZxxI320i95cA']",0,5.0,user,{},[]
2008-04,"{'funny': 25, 'useful': 89, 'cool': 32}",114,Aley,1zWE8_SogbCAP_35X8BK5Q,"['DY--xK8ZwfQroxJmxGlFxA', 'n3624-gMtm393a3wlnXwhw', 'I7jQVTvtO51uWDlHvnYrcg', 'iXMc4KY3UUsl7IQdfH_GBQ']",2,4.0,user,"{'funny': 1, 'cool': 1}",[]
2007-03,"{'funny': 12, 'useful': 63, 'cool': 19}",55,Anna,FCarPGcAjzyhG65Cn5quGA,"['TsVhtokCTaNVzy8yOUGyTg', 'z7xJBaQe_nafil5Paa5Dtg', 'H1uhieEU-pJpFVp9jqW-wQ']",5,3.859999999999999,user,"{'profile': 1, 'funny': 2, 'plain': 2, 'writer': 3, 'note': 3, 'hot': 3, 'more': 1, 'cool': 2}",[]
2011-11,"{'funny': 7, 'useful': 17, 'cool': 1}",31,Scott,I5kpy8v4oz7c-VKUHIpWvQ,"['Gw7hdJwm5-PImSFaz3L-9w', 'h64aKXn186422s4mYNnGkQ', 'ZCXX_v_D4jg3Sf-BbArhww']",0,3.379999999999999,user,"{'note': 1, 'hot': 1}",[]
2011-09,"{'funny': 3, 'useful': 18, 'cool': 4}",8,Don,LL8Kl4wfe1NsmY_X7anqDA,[],0,3.0,user,{},[]
2012-07,"{'funny': 0, 'useful': 0, 'cool': 0}",2,Lauren,AU6ObIcHc-CxdcpTsDio0Q,[],0,3.0,user,{},[]
