votes,user_id,review_id,stars,date,text,type,business_id
"{'funny': 7, 'useful': 10, 'cool': 8}",du6KeE54IFbPiXpU3LOd1g,nSFIRge1aJCMcwUqlaF-0g,5,2010-08-01,"I have a secret and it's a blockbuster!

I know the location of the Best Circle K on the planet!!!!

It's right here...really...right friggin' here!

It's one of those situations where the stars all aligned and everything turned out perfectly...we don't know why and we don't want to question divine providence...we just want it to continue to be great!

Over the years, I've seen my share of Circle K's, 7-11's, AM/PM's and their locally owned brethren...most of them smell and look like an overheated  dorm room after a drunken 12 person orgy (don't ask me how I know this...I would have to tell you and you just can't ""unhear"" some things).

And while I (much like you) need to occasionally use one of these markets (""what!...I thought you were bringing ice""...""we're out of butter on Thanksgiving?""...""oh well...off I go!""), I have tried to keep those foray's short and when I do have to drop in, I usually wear latex gloves so I don't actually have to come into contact with any surfaces in these places.  

However, this particular Circle K is so very clean (I guess to keep the resort trade from the Valley Ho and the squatters living in the remains of the now defunct Ramada Inn across the street, happy), and so very well stocked and run, that it will alter your understanding of what the phrase ""convenience store"" is really supposed to mean!

To wit:

* Want Costco like special prices on a large selection of some really terrific wines and specialty beers? This Circle K has 'em!

* You need a quick refill on either infant or adult diapers?...Drop by for a ""reload"".

* Want a decent cup of coffee on the go? Circle K fills the bill (no, it's not as good as Sola's coffee, but geez, it's  1/2 the price of those places and for the price, it's really a decent cup of coffee)

* How about a hot, dog, polish, one of those rolled burrito dealies or a slurpee?...you can get any of those and much more in a non-sticky, non-smelly, clean and friendly environment!

* Need Handy Wipes for the ""homeless shower"" since there isn't water and electricity at the Ramada...done and done!

I want to emphasize...this is the best Circle K on earth...right here in the friendly confines of Old Town Scottsdale (and Old Town Scottsdale really is friendly...why just this morning, I found a used condom on the street while I was out walking Deedee...what could be friendlier than that!?!?)

The employees here are all pleasant and helpful, the shelves are clean, organized and well stocked, the drink and food areas are scrupulously clean...you get a choice of crushed or cubed ice...and you'll always get a smile and gracious ""thanks"" from the clerks (even when I use my credit card for an $0.86 drink!)

So, for three plus years of consistently great service, clean surroundings and for being there when I needed them, a solid 5 stars as the very best of the convenience store breed!",review,De5urGVv1kkiKVJ9bvlQ6w
"{'funny': 1, 'useful': 3, 'cool': 0}",uZHynuKHcdM-VSa5yUHrtw,OkAX8ATtZIJvpoOHFIFeQg,5,2009-09-09,"I don't understand why there aren't much reviews for this place! Maybe the people in vegas don't really use yelp, but people here in the bay area LIVE for yelp!

well, i just got back from a labor day weekend vacation to vegas. I had always wanted to try hookah in vegas, and finally this was my chance! This place is perfect! It's hookah + fine teas! Oh my there were indeed fine!

My friend and I arrived around 10PMish and was immediately greeted and seated by a cute young lady. I had ordered the dreamy rose tea and we tried their hookah flavor FRUIT LOOPS. They are very well known for this flavor because it's their own family recipe! It really did taste like fruit loops, but after a while it tasted more like just a fruit mix thing. Still good.

The other flavor we got was rosarita AKA rose+margarita mix. SOOOOOOOOOOOOO fuckin awesome! Whoever thought of this mix must be part genius part hookah god. It was delicious and smooth. 

I just how their decor, I love how they fill their glass base of the hookah with tons of ice. It makes the smoking experience much cooler and smoother. I just love the black light, the candles, the cool LED lights that are attached to the tables so when you put a hookah over the light, the hookah will glow colors!

On to the customer service. I almost felt bad that they were treating us so well. Charcoal service was ALWAYS tip top and LITERALLY when the smoke got kinda harsh toward the end, the guy immediately came up and asked me if it was getting harsh because he heard me cough just ONCE.

Anyways, this place is WONDERFUL because it's really nice to get away from the strip because I anticipate that the hookah bars there are probably filled with drunk whores with short ass skirts while guys touch them inappropriately while sucking on hookahs that are incompetent compared to Azuza's hookahs.

best hookah bar i've ever been to. no lies!",review,3KAfAz5xzjop5RmyYLW4Sg
"{'funny': 0, 'useful': 0, 'cool': 0}",SEDJTWEzMdqp7UsS1W3KXw,LphhvJCa9sLopZfO6CbpTw,3,2013-11-17,"Had the ham and cheese and it was good but definitely not worth the nearly $7 I paid. As with most sub places, you get one tiny piece of cheese that you can't even taste. Skipping it saves a few calories!

I also got mustard and mayo, which meant my sandwich was now swimming in mustard and mayo. Next time I will ask for light mustard and mayo. 

Will go back, maybe if we get a gift card :)",review,DBoebGeuz91QAP3tSFYs6w
"{'funny': 0, 'useful': 0, 'cool': 0}",5O4x5KS4hpQj0q21-Uh0WQ,iALLfzVXz47QlWUOf3yT-g,5,2012-05-18,"My review concerns the store, in general - Not their rental counter.

I like this store because it has the ""Mom & Pop"" aura - The employees that are there have been there for some time, and Russ himself is always there to help out when needed.  That says something.

The employees are EXTREMEMLY helpful - Overly-helpful at times, but I'm not going to complain about that!  Checking-out is super-fast, and selection of items is good.

Sure, you might end up having to get something at Home Depot or Lowe's, but try and give Russ some of your business - You'll like what you find here.",review,U5-VseaV5NWnuh5AW4acJg
"{'funny': 1, 'useful': 2, 'cool': 1}",0WRo9NFL10av3eQVMR4Egg,TGJDMSIyeJJvtsNhWfGBzQ,3,2013-10-07,"The ""check in"" area is very confusing. Signs don't help & I'm not a fan of the customer service area. OMG the elevators. I know Luxor is a shape of a pyramid, but STILL elevators are not supposed to shake like its a freakin' earthquake!

 I gave it 3 stars & not two, because, they have a good buffet. They also have great deals at the restaurants, say if you ""checked in"" on Yelp and/or Foursqare. Luxor is very beautiful on the outside day, ESPECIALLY at night. They have this light shining from the top to the sky. 

They have sales people wanting you to go to the time share at ""Grand View"" & Luxor will actually give you free shows or in my case free 4 dys/3nts next time at Luxor. If you get the free hotel, I'd say take it....ITS FREE!! I know you have to go through the whole time share, but still. 

Its your opinion on what you think of Luxor. Check it out for the deals, but I'd recommend not to stay here, unless you got a freebie. :)",review,6LM_Klmp3hOP0JmsMCKRqQ
"{'funny': 3, 'useful': 2, 'cool': 0}",oKhddaqUVAKxyZ_bxNpejg,UPjRJ9DeDLJ6aH_RaZArrQ,1,2012-09-24,"I had a real hard day today and wanted a place to relax with my husband.  So we decided to go to Pan Asian tonite.  The last time we were there it was ok, not bad. I enjoyed the atmosphere, so coming back was i thought going to be good again.  Well i ordered the mango shrimp salad, and when the waitress asked us how spicy, my husband and i knew better to ask what scale they used (we eat out a lot, especially thai!) whether it was 1-5 or 1-10?  when she said 1-10, we ordered it a 2! well when i recieved it, it was so spicy that i could no longer eat the rest of the food we ordered....i was disappointed but not mad.  i felt that maybe they did a mistake.  So i didnt make a fuss, but i did tell the waitress i was dying and needed water.  The waitress told the owner that it was too hot for me, so he said he would fix it,  But it was too late my mouth was on fire.  But this whole time, mind you i WAS NOT MAD, until the owner started to say stuff like it shouldnt be too spicy and that he didnt see anything wrong with the salad even though it was encrusted in red pepper,  and that i ate most of the shrimps so it must not be that bad!!  (it came with 3 fricken shrimps!!!) i started to feel offended by his remarks but still paid for dinner.  my point was not to not pay for our food.  i was ok until he started to talk.  Then he said next time to not order a salad with a 2! thats real spicy.  WHAT?????  then whats a 5 on his scale.  I just felt it had bad customer service and at this place owner is right, not customer.  To top it off the owner and his wife were yelling at each other while we were eating......
sad!",review,8HCC8NuJmdHnEg2XC00NPg
"{'funny': 1, 'useful': 0, 'cool': 1}",R0kqmv0FsYKdz8w-Fe2IgQ,TyZEFQVgedGWRWi0HWWKnw,3,2012-03-02,"Good, clean, white-trash fun. I fit in quite well.",review,Ss7rZpNaKRWs4Wkq_tHuTA
"{'funny': 0, 'useful': 0, 'cool': 0}",stqaDDu1BxjDSwpLoBdrBg,2IE0cuAH0QZ1iz6TlRRS_Q,5,2013-12-18,"I adore this little restaurant! I love the employees AND the food. The service is impeccable, it's fast AND friendly. My boyfriend and I love coming here for breakfast on the weekends. Don't ever leave! :)",review,wlgcuh3b49oRfVe2LQYTRA
"{'funny': 0, 'useful': 5, 'cool': 2}",wx12_24dFiL1Pc0H_PygLw,LgrcAAxPTMuZbWSmmXKy1A,4,2012-04-11,"Repeat after me: fuh. Yep, fuh. That's how you pronounce ""Pho"", not ""fo"". Although I feel like I will still call this place ""Fo Vietnam"" rather than ""Fuh Vietnam"" as whenever I have called it ""Fuh"" most people give me strange looks and I feel like a bit of a pretentious food-snob.

Anyway, now we've cleared that up, it's actually not very relevant as I didn't end up trying the Pho. Instead, squeezed into this pint-sized wee restaurant, with a modest menu to match, I settled on the fried Vietnamese noodles with seafood.

When it arrived I thought there was no way I would finish it. A pretty hefty portion, packed FULL of prawns and squid (although small prawns, rather than the big King ones. I suppose I just expect those nowadays but it shouldn't have disappointed me). Maybe slightly less veg than I'd hoped for, as that was the main reason I chose the noodles over the pho. But ohhhh. Those big thick noodles were, despite being fried, so light. Fried in egg, it looks like, but not greasy or heavy at all.

Flash-forward 10 minutes and they're all gone and I could easily have asked for seconds. So for a big bowl of steaming, egg fried noodles with ample prawns and squid, this is perfect. Chop sticks too, winning. All the food I saw come out also looked very tempting, especially the cold (not fried) spring rolls (bonus points for healthiness).

Throw into the mix a super, SUPER friendly waitress but in a genuine, rather than eager-to-please, way it made for an all-round delightful evening out.

Like I said, it is small. Really small. Chairs need to be shuffled around when people arrive to get past, and when the restaurant was full (which I believe it is most nights) it was loud and anyone with personal space issues might have a wee freak out.

For that reason, book in advance. It was a Tuesday night and folk were getting turned away at the door as it was booked up.

Next time I WILL try the Pho. Unless those noodles get the better of me again. But for hearty, but quite healthy, comfort food in the shape of rice noodles and broth, it's a winner.",review,5qY6LqQFupz2Dm8LB4xkJw
"{'funny': 0, 'useful': 0, 'cool': 0}",oP1juENpQYc-uE7J2M0xRw,fDR50sjbc8_-myvuOngAZw,4,2013-06-06,"The suite was comfortable, great TV's and bed, could use a paint job as the banister was peeling. Room service was fabulous both food and service. Pool area was beautiful but disappointed with not opening until 9 (which was 9:05) tons of people waiting. The sundry area for lotion didn't open until 10:45 and you could not get food service at your chair. You might want to consider as there are many other hotels to choose from.",review,34uJtlPnKicSaX1V8_tu1A
